tissue_id	label
tissue_781	Myeloid Lineage
tissue_186	Myeloid Lineage
tissue_936	Myeloid Lineage
tissue_261	Lung
tissue_495	Ovary
tissue_444	Kidney
tissue_623	Breast
tissue_296	Melanocytic Lineage
tissue_379	Breast
tissue_973	NEC of Lung or Other Organs
tissue_1016	Breast
tissue_12	Ovary
tissue_325	Lung
tissue_365	Kidney
tissue_103	Kidney
tissue_149	Stomach and Esophagus
tissue_660	Head and Neck
tissue_519	Lung
tissue_412	Kidney
tissue_27	Stomach and Esophagus
tissue_456	Breast
tissue_448	Lymphoid Lineage
tissue_331	Lung
tissue_726	Breast
tissue_432	Head and Neck
tissue_410	Stomach and Esophagus
tissue_928	Lung
tissue_960	NEC of Lung or Other Organs
tissue_894	Kidney
tissue_67	Kidney
tissue_896	Kidney
tissue_970	Kidney
tissue_988	Lymphoid Lineage
tissue_632	Kidney
tissue_715	Lymphoid Lineage
tissue_891	Cervix
tissue_813	Ovary
tissue_175	Lymphoid Lineage
tissue_530	Uterus
tissue_549	Lung
tissue_303	Pancreas and Gallbladder
tissue_178	Head and Neck
tissue_126	Breast
tissue_332	Lung
tissue_243	Kidney
tissue_345	Uterus
tissue_619	Kidney
tissue_51	Cervix
tissue_729	Stomach and Esophagus
tissue_780	Ovary
tissue_220	Lung
tissue_670	Lung
tissue_231	NEC of Lung or Other Organs
tissue_719	Stomach and Esophagus
tissue_986	Head and Neck
tissue_237	Stomach and Esophagus
tissue_628	Stomach and Esophagus
tissue_9	Head and Neck
tissue_285	Pancreas and Gallbladder
tissue_394	Cervix
tissue_50	Bladder and Urothelial Tract
tissue_141	NEC of Lung or Other Organs
tissue_618	NEC of Lung or Other Organs
tissue_840	Lung
tissue_733	Colon and Rectum
tissue_1052	NEC of Lung or Other Organs
tissue_762	Head and Neck
tissue_950	Prostate
tissue_283	Liver and Bile Duct
tissue_221	NEC of Lung or Other Organs
tissue_255	Colon and Rectum
tissue_737	Lymphoid Lineage
tissue_146	Stomach and Esophagus
tissue_110	Lymphoid Lineage
tissue_906	Colon and Rectum
tissue_923	Lung
tissue_842	Colon and Rectum
tissue_924	Bladder and Urothelial Tract
tissue_504	Lymphoid Lineage
tissue_831	Kidney
tissue_997	Colon and Rectum
tissue_941	Stomach and Esophagus
tissue_727	Bone and Soft Tissue
tissue_810	Bone and Soft Tissue
tissue_748	Ovary
tissue_855	Cervix
tissue_83	Lung
tissue_1043	NEC of Lung or Other Organs
tissue_542	Lung
tissue_428	Head and Neck
tissue_560	NEC of Lung or Other Organs
tissue_1011	Stomach and Esophagus
tissue_521	Bladder and Urothelial Tract
tissue_876	Head and Neck
tissue_219	Stomach and Esophagus
tissue_561	Bone and Soft Tissue
tissue_508	NEC of Lung or Other Organs
tissue_1050	Kidney
tissue_355	NEC of Lung or Other Organs
tissue_310	Ovary
tissue_598	Lymphoid Lineage
tissue_1055	Stomach and Esophagus
tissue_211	Bone and Soft Tissue
tissue_109	Colon and Rectum
tissue_744	Plasma Cell Lineage
tissue_796	Colon and Rectum
tissue_490	NEC of Lung or Other Organs
tissue_578	Lung
tissue_156	Pancreas and Gallbladder
tissue_736	Lung
tissue_357	Lymphoid Lineage
tissue_765	Prostate
tissue_151	Cervix
tissue_999	Pancreas and Gallbladder
tissue_622	Pancreas and Gallbladder
tissue_450	Stomach and Esophagus
tissue_1080	Lymphoid Lineage
tissue_1009	Liver and Bile Duct
tissue_459	Uterus
tissue_871	Prostate
tissue_880	Head and Neck
tissue_284	NEC of Lung or Other Organs
tissue_839	Lymphoid Lineage
tissue_337	Head and Neck
tissue_1063	Head and Neck
tissue_29	Lymphoid Lineage
tissue_198	Head and Neck
tissue_127	Head and Neck
tissue_644	Lung
tissue_588	NEC of Lung or Other Organs
tissue_1031	Bone and Soft Tissue
tissue_373	Prostate
tissue_612	Uterus
tissue_630	Lung
tissue_341	Prostate
tissue_918	Stomach and Esophagus
tissue_689	Lymphoid Lineage
tissue_61	Kidney
tissue_304	Stomach and Esophagus
tissue_129	NEC of Lung or Other Organs
tissue_1042	Lymphoid Lineage
tissue_1093	Colon and Rectum
tissue_451	Ovary
tissue_187	Colon and Rectum
tissue_189	Lung
tissue_380	Bladder and Urothelial Tract
tissue_1102	Ovary
tissue_693	Colon and Rectum
tissue_173	Lung
tissue_841	Pancreas and Gallbladder
tissue_1059	Liver and Bile Duct
tissue_804	NEC of Lung or Other Organs
tissue_416	Plasma Cell Lineage
tissue_517	Lung
tissue_837	Lung
tissue_740	Colon and Rectum
tissue_815	Lymphoid Lineage
tissue_511	Lung
tissue_259	NEC of Lung or Other Organs
tissue_265	Colon and Rectum
tissue_230	Lung
tissue_361	Bone and Soft Tissue
tissue_20	Lung
tissue_368	NEC of Lung or Other Organs
tissue_728	Lung
tissue_418	Head and Neck
tissue_360	Stomach and Esophagus
tissue_971	Lung
tissue_133	NEC of Lung or Other Organs
tissue_699	Breast
tissue_592	Kidney
tissue_1020	Head and Neck
tissue_305	Stomach and Esophagus
tissue_510	Pancreas and Gallbladder
tissue_266	Breast
tissue_721	Anus
tissue_201	Ovary
tissue_330	Stomach and Esophagus
tissue_1015	Prostate
tissue_858	NEC of Lung or Other Organs
tissue_1	Lymphoid Lineage
tissue_806	Liver and Bile Duct
tissue_1067	Bone and Soft Tissue
tissue_164	Plasma Cell Lineage
tissue_686	Pancreas and Gallbladder
tissue_707	Bone and Soft Tissue
tissue_605	Plasma Cell Lineage
tissue_466	NEC of Lung or Other Organs
tissue_951	Ovary
tissue_613	Prostate
tissue_942	Pancreas and Gallbladder
tissue_957	Ovary
tissue_449	Prostate
tissue_135	NEC of Lung or Other Organs
tissue_731	NEC of Lung or Other Organs
tissue_415	NEC of Lung or Other Organs
tissue_664	Plasma Cell Lineage
tissue_483	Lymphoid Lineage
tissue_372	NEC of Lung or Other Organs
tissue_1111	Plasma Cell Lineage
tissue_217	Lymphoid Lineage
tissue_120	Anus
tissue_315	NEC of Lung or Other Organs
tissue_1105	Lymphoid Lineage
tissue_550	Head and Neck
tissue_242	Lung
tissue_475	Lymphoid Lineage
tissue_516	Liver and Bile Duct
tissue_74	Liver and Bile Duct
tissue_1002	NEC of Lung or Other Organs
tissue_1082	NEC of Lung or Other Organs
tissue_875	Cervix
tissue_1057	Prostate
tissue_491	Lung
tissue_722	Head and Neck
tissue_767	Ovary
tissue_525	Head and Neck
tissue_155	Lymphoid Lineage
tissue_509	Lymphoid Lineage
tissue_718	Lung
tissue_820	Colon and Rectum
tissue_1098	Ovary
tissue_574	Lymphoid Lineage
tissue_680	Lymphoid Lineage
tissue_606	Lymphoid Lineage
tissue_260	Breast
tissue_785	Colon and Rectum
tissue_769	Lung
tissue_45	Colon and Rectum
tissue_392	Lymphoid Lineage
tissue_327	Lung
tissue_257	Colon and Rectum
tissue_258	Lymphoid Lineage
tissue_417	Head and Neck
tissue_374	Head and Neck
tissue_977	Liver and Bile Duct
tissue_657	Cervix
tissue_585	Breast
tissue_616	Ovary
tissue_306	Lung
tissue_253	Bone and Soft Tissue
tissue_1068	Pancreas and Gallbladder
tissue_111	Pancreas and Gallbladder
tissue_1064	Kidney
tissue_76	Head and Neck
tissue_268	Lung
tissue_1109	Head and Neck
tissue_688	Head and Neck
tissue_1065	Prostate
tissue_14	Kidney
tissue_238	Kidney
tissue_439	Breast
tissue_17	Cervix
tissue_886	Liver and Bile Duct
tissue_537	Liver and Bile Duct
tissue_471	Lymphoid Lineage
tissue_248	Lymphoid Lineage
tissue_49	Lymphoid Lineage
tissue_277	Breast
tissue_78	Kidney
tissue_322	Pancreas and Gallbladder
tissue_935	Head and Neck
tissue_254	Ovary
tissue_710	Liver and Bile Duct
tissue_756	Stomach and Esophagus
tissue_593	Cervix
tissue_15	Kidney
tissue_30	Breast
tissue_152	Bladder and Urothelial Tract
tissue_328	Kidney
tissue_121	Breast
tissue_671	Breast
tissue_193	Lymphoid Lineage
tissue_87	Lung
tissue_251	Lymphoid Lineage
tissue_399	Stomach and Esophagus
tissue_532	Stomach and Esophagus
tissue_868	Colon and Rectum
tissue_717	Lung
tissue_200	Lung
tissue_969	Lymphoid Lineage
tissue_320	Head and Neck
tissue_1022	Head and Neck
tissue_723	Kidney
tissue_1033	Lung
tissue_515	Lymphoid Lineage
tissue_382	Lymphoid Lineage
tissue_370	Ovary
tissue_16	Prostate
tissue_1049	Liver and Bile Duct
tissue_802	Stomach and Esophagus
tissue_893	Bone and Soft Tissue
tissue_819	Kidney
tissue_742	Head and Neck
tissue_297	Prostate
tissue_753	Prostate
tissue_849	Stomach and Esophagus
tissue_749	Prostate
tissue_808	Breast
tissue_427	Plasma Cell Lineage
tissue_378	Lung
tissue_402	Lung
tissue_488	Ovary
tissue_264	Head and Neck
tissue_77	Head and Neck
tissue_247	NEC of Lung or Other Organs
tissue_873	Prostate
tissue_914	Melanocytic Lineage
tissue_1047	Myeloid Lineage
tissue_1077	Lung
tissue_19	Uterus
tissue_1112	Head and Neck
tissue_534	Colon and Rectum
tissue_1006	Pancreas and Gallbladder
tissue_772	Breast
tissue_159	Breast
tissue_90	Breast
tissue_621	Stomach and Esophagus
tissue_1030	Plasma Cell Lineage
tissue_568	Stomach and Esophagus
tissue_132	Liver and Bile Duct
tissue_438	Kidney
tissue_994	Breast
tissue_34	Bladder and Urothelial Tract
tissue_978	Breast
tissue_358	Stomach and Esophagus
tissue_761	Lymphoid Lineage
tissue_1060	Lung
tissue_503	Head and Neck
tissue_691	Colon and Rectum
tissue_302	Colon and Rectum
tissue_298	Breast
tissue_746	Uterus
tissue_829	Prostate
tissue_366	Uterus
tissue_666	Stomach and Esophagus
tissue_311	Kidney
tissue_309	Breast
tissue_429	Stomach and Esophagus
tissue_595	Breast
tissue_869	Kidney
tissue_1084	Breast
tissue_535	Breast
tissue_1024	Lung
tissue_1036	Prostate
tissue_697	Head and Neck
tissue_71	Prostate
tissue_346	Uterus
tissue_690	Prostate
tissue_907	Ovary
tissue_1045	Prostate
tissue_125	Ovary
tissue_677	Breast
tissue_281	Colon and Rectum
tissue_866	Colon and Rectum
tissue_308	Pancreas and Gallbladder
tissue_836	Prostate
tissue_1051	Cervix
tissue_39	Ovary
tissue_652	Prostate
tissue_679	Anus
tissue_803	Kidney
tissue_364	Breast
tissue_33	Lymphoid Lineage
tissue_934	Kidney
tissue_314	Colon and Rectum
tissue_965	Lung
tissue_626	Bladder and Urothelial Tract
tissue_117	Colon and Rectum
tissue_799	Breast
tissue_96	Lymphoid Lineage
tissue_213	Uterus
tissue_587	Breast
tissue_229	Breast
tissue_597	Breast
tissue_554	Prostate
tissue_833	Prostate
tissue_695	Pancreas and Gallbladder
tissue_437	Prostate
tissue_414	Prostate
tissue_445	Breast
tissue_286	Stomach and Esophagus
tissue_84	Breast
tissue_65	Lymphoid Lineage
tissue_823	Prostate
tissue_653	Breast
tissue_920	Breast
tissue_825	Colon and Rectum
tissue_672	Lymphoid Lineage
tissue_100	Bladder and Urothelial Tract
tissue_912	Kidney
tissue_249	Ovary
tissue_725	Prostate
tissue_863	Lymphoid Lineage
tissue_441	Prostate
tissue_158	Ovary
tissue_245	Breast
tissue_792	Bone and Soft Tissue
tissue_351	Colon and Rectum
tissue_738	Breast
tissue_31	Prostate
tissue_396	Uterus
tissue_582	Breast
tissue_89	Breast
tissue_408	Ovary
tissue_807	Lymphoid Lineage
tissue_1054	Melanocytic Lineage
tissue_318	Stomach and Esophagus
tissue_295	Stomach and Esophagus
tissue_1032	Colon and Rectum
tissue_197	Colon and Rectum
tissue_79	Uterus
tissue_1104	Breast
tissue_524	Lymphoid Lineage
tissue_1094	Stomach and Esophagus
tissue_443	Bladder and Urothelial Tract
tissue_150	Stomach and Esophagus
tissue_404	Prostate
tissue_469	Colon and Rectum
tissue_701	Head and Neck
tissue_387	Colon and Rectum
tissue_1017	Stomach and Esophagus
tissue_790	Melanocytic Lineage
tissue_714	Breast
tissue_223	Breast
tissue_454	Kidney
tissue_468	Breast
tissue_758	Lymphoid Lineage
tissue_241	Lung
tissue_1090	Lymphoid Lineage
tissue_244	Lymphoid Lineage
tissue_350	Colon and Rectum
tissue_352	Prostate
tissue_743	NEC of Lung or Other Organs
tissue_921	Lung
tissue_1066	Breast
tissue_1073	Head and Neck
tissue_705	Breast
tissue_55	NEC of Lung or Other Organs
tissue_791	Kidney
tissue_980	Breast
tissue_548	Ovary
tissue_637	Uterus
tissue_72	Ovary
tissue_1107	Breast
tissue_1095	Prostate
tissue_984	Colon and Rectum
tissue_1061	Stomach and Esophagus
tissue_962	Breast
tissue_369	Prostate
tissue_274	Prostate
tissue_101	Bladder and Urothelial Tract
tissue_845	Breast
tissue_1046	Lung
tissue_573	Kidney
tissue_210	Head and Neck
tissue_367	Colon and Rectum
tissue_228	Colon and Rectum
tissue_811	Uterus
tissue_59	Bladder and Urothelial Tract
tissue_41	Head and Neck
tissue_768	NEC of Lung or Other Organs
tissue_953	Bladder and Urothelial Tract
tissue_895	Stomach and Esophagus
tissue_1088	Stomach and Esophagus
tissue_334	Prostate
tissue_1056	Breast
tissue_611	Head and Neck
tissue_610	NEC of Lung or Other Organs
tissue_862	Colon and Rectum
tissue_1053	Breast
tissue_128	Cervix
tissue_56	Bladder and Urothelial Tract
tissue_204	Breast
tissue_822	Kidney
tissue_636	Prostate
tissue_489	Breast
tissue_931	Bone and Soft Tissue
tissue_850	Breast
tissue_343	Lung
tissue_24	Colon and Rectum
tissue_62	Melanocytic Lineage
tissue_10	Breast
tissue_291	Bone and Soft Tissue
tissue_145	Uterus
tissue_168	Breast
tissue_497	Lymphoid Lineage
tissue_575	Breast
tissue_289	Plasma Cell Lineage
tissue_643	Kidney
tissue_562	Uterus
tissue_182	Breast
tissue_144	Ovary
tissue_540	Breast
tissue_678	Lung
tissue_474	Breast
tissue_624	Colon and Rectum
tissue_797	Lung
tissue_1039	Lymphoid Lineage
tissue_1097	Breast
tissue_53	Lymphoid Lineage
tissue_43	Head and Neck
tissue_589	Uterus
tissue_498	Lung
tissue_764	Uterus
tissue_481	Prostate
tissue_801	Kidney
tissue_407	Lung
tissue_812	Lung
tissue_539	Colon and Rectum
tissue_981	Breast
tissue_105	Prostate
tissue_992	Kidney
tissue_987	Head and Neck
tissue_134	NEC of Lung or Other Organs
tissue_1087	Prostate
tissue_700	Lymphoid Lineage
tissue_859	Ovary
tissue_172	Cervix
tissue_447	Prostate
tissue_1110	Breast
tissue_631	Kidney
tissue_1012	Colon and Rectum
tissue_131	Lung
tissue_181	Lymphoid Lineage
tissue_922	Breast
tissue_406	Cervix
tissue_122	Lymphoid Lineage
tissue_1071	Prostate
tissue_559	Stomach and Esophagus
tissue_656	Breast
tissue_1001	Lymphoid Lineage
tissue_964	Lung
tissue_1000	Breast
tissue_499	Colon and Rectum
tissue_579	NEC of Lung or Other Organs
tissue_226	Plasma Cell Lineage
tissue_1003	Head and Neck
tissue_176	Cervix
tissue_467	Breast
tissue_835	Colon and Rectum
tissue_1007	Breast
tissue_847	Head and Neck
tissue_650	Colon and Rectum
tissue_938	Breast
tissue_529	Lymphoid Lineage
tissue_852	Prostate
tissue_163	Prostate
tissue_982	Lymphoid Lineage
tissue_563	Ovary
tissue_185	Breast
tissue_649	Stomach and Esophagus
tissue_681	Breast
tissue_712	Lung
tissue_140	Breast
tissue_457	Stomach and Esophagus
tissue_1044	Bone and Soft Tissue
tissue_552	Breast
tissue_889	Prostate
tissue_263	Stomach and Esophagus
